,title,link
171,9.21早读 | 虽然月饼的口味在变，但团圆的意味一直未变,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554885&idx=1&sn=557adc45881a9485ae2df6d347dcb9ec&chksm=f7ebc808c09c411ec8c05db1fb9b46a89a05f466494fe1eb2512be7c7eb9c3b4ed7640183043#rd
172,“绞尽脑汁，冥思苦想”用英语怎么讲？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554885&idx=2&sn=e042881525b71e68387dc453d5ab0b73&chksm=f7ebc808c09c411e5a34c641686ef05d1437cceae6b78d446a5b1c3862c12bfc3c57a93201b3#rd
173,每日听写|9.21,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554885&idx=3&sn=b9f9e32b0dfa4695f8c2ac1e934deed6&chksm=f7ebc808c09c411e4df7b70d225a4f5017558782b9193b79ad9e9bc5e6cf2964a3ba78e45d86#rd
174,我们一起神翻译|9.21,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554885&idx=4&sn=eb2a39e52004d1dc7234e50c0f6aa525&chksm=f7ebc808c09c411e1532a2fe01a792ba6ed109ec9073e352beaadf0808d3ca6b579646a11c47#rd
175,每日一句|9.21,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554885&idx=5&sn=772d76c124efcd2feb7debf249a8d05d&chksm=f7ebc808c09c411e9e240f942a74a3aad84a34ab97410513ed6387dd9bb5d69963751944b1d7#rd
176,9.20早读 | 悲伤是生活中很自然的一部分，当这种事发生在你身上时，你并没什么错,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554867&idx=1&sn=3c9ba814049820b0e83ee635ea2e5bdb&chksm=f7ebc87ec09c41683fb8371d2acf2983c5027043d07a013522ffc74e5fe6e343151c6b050f7e#rd
177,【老外说】美丽的邂逅,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554867&idx=2&sn=96779b9a540997e658220457519f09f0&chksm=f7ebc87ec09c41689ba3a20ce8252872e438ac9cc31d7cafd7a5e3569b991cce71a568c68f74#rd
178,每日听写|9.20,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554867&idx=3&sn=1d9ae7f7df0f46d8384f899c0d498cf4&chksm=f7ebc87ec09c4168851b3c93a57c000f4d245e18ba3a1924955b79577561d895b903de536a12#rd
179,我们一起神翻译|9.20,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554867&idx=4&sn=8febe58d3b8c4a4f7e10ea425554004b&chksm=f7ebc87ec09c416886ead67a6632548ac4a3256fc7a0b0ea630e34be30746a4cfb8386b6d2de#rd
180,每日一句|9.20,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554867&idx=5&sn=5df4d0e7d25515e3539fc2a29871a822&chksm=f7ebc87ec09c41682ae0f8cffb9f7f1f036b6bf6f01db76dd0c90b78d5f39d96fc64e151c358#rd
181,Gwen为你读：没有什么胜利可言，挺住就意味着一切,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554815&idx=1&sn=968312a4a6a69bc66df496d7825b1b87&chksm=f7ebc8b2c09c41a4da81d72a96eb9114c8ed6b5e22409d7c4e4bfd7c501447539a7624a55fd3#rd
182,9.19早读 | 在社交媒体的年代，我们不断追求下一个「点赞」，为我们不断追求自我表达和追求完美，按下暂停键,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554815&idx=2&sn=cfa824b8b8454bddebc425ecce09d153&chksm=f7ebc8b2c09c41a4dfb97fd6d2928da6d04bc80d179fb24522d96826aa613e9a21f0145f00a9#rd
183,每日听写飞鸟集|The Lake House03,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554815&idx=3&sn=c27966859b93589f418c70e9db0241f8&chksm=f7ebc8b2c09c41a41e5b77edeb9c13cf5c9972d8e5099d6ed0d2d9343f03fc28fde6b7a6c004#rd
184,听歌学英文| Under / Over,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554787&idx=1&sn=aa0de80d67a2fc9fd61f8b130734ddfb&chksm=f7ebc8aec09c41b8992fc15821867de4622be4a5bf0cee45869c101127c1f0257ca33efe0908#rd
185,9.18早读 | 阴影总是挥之不去，关键在你如何走出阴影,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554787&idx=2&sn=d4effe126cb788055ba378f85f4b9695&chksm=f7ebc8aec09c41b84274caa4cb4ad2bbf61a83d45b1d566c1dacc0d6d8e2e1d05400ef33113d#rd
186,每日听写9.13-9.17中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554787&idx=3&sn=520e07fc1614dbfcfb9ac766df37f92f&chksm=f7ebc8aec09c41b825510d1e2afd923a47e3ea595fbe38e61e321287243f4cb67fcf1dcc98b2#rd
187,最后 1天报名（最后一次影子跟读课）！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554764&idx=1&sn=d2c3e8a379be3b657884c60cc6b33ee4&chksm=f7ebc881c09c4197b3ccb536c1b2eec2f732299ae4c5023e3235f263c13639558c0d342715b6#rd
188,9.17早读 | 己所不欲，勿施于人,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554764&idx=2&sn=64d41584b98a307fb15d1a5a478cd05e&chksm=f7ebc881c09c419788f408454bd6f5c24b7e6ce0589d5c410bcb85ca99a288ed265ac416ddfc#rd
189,每日听写|9.17,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554764&idx=3&sn=3890a84218037f44629babd75e15033a&chksm=f7ebc881c09c4197645d762a6c3ce00ad8818ba3efe2ae11134692476269435f40e53ab7b312#rd
190,我们一起神翻译|9.17,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554764&idx=4&sn=e33749d9fea045cebd2a0ed33a087d14&chksm=f7ebc881c09c4197b4c468d8f906c2c747397ffd8091bb4829a9857d91d08042a501bedf606b#rd
191,每日一句|9.17,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554764&idx=5&sn=76e521e998d8c7719420ed84c63643d8&chksm=f7ebc881c09c419763620d95340301f9641d3e0acbc6b55660fd5fbb6c3080f568ae101819be#rd
192,9.16早读 | 你只管过你的人生，想做什么就去做,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554736&idx=1&sn=bb8befb08734db908b7dd257a9866842&chksm=f7ebc8fdc09c41eb9a47701c17e3c30afd19a786a908d43e4913e95634c24e0283989bba8bf5#rd
193,最后 2天报名（最后一次影子跟读课！）,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554736&idx=2&sn=a35ed6f96fab3a5d8db06807fde8cb35&chksm=f7ebc8fdc09c41ebed3980ad7eb7142ac278e720fe110558b7af4bbe00cbb3ab6e2cff75653e#rd
194,每日听写|9.16,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554736&idx=3&sn=37d37cb0db2048757b082f30a21d9522&chksm=f7ebc8fdc09c41ebb4509635acea13360ef127c14eb3e600976a3b80b3530902d5afaf01a2d2#rd
195,我们一起神翻译|9.16,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554736&idx=4&sn=d921ac9a22cd702e79a967836a44cd08&chksm=f7ebc8fdc09c41ebcd103322ed13e9d0323b7dea52595dbbbc0c5781e619e6b908eafc90ede6#rd
196,每日一句|9.16,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554736&idx=5&sn=6ee0059fdaca52f81d14c428321ffe79&chksm=f7ebc8fdc09c41ebb6529d064279586ef7c82ff6520ab239cdcd4c18ee0e89ac8b38d976ff59#rd
197,9.15早读 | 我们内心所获得的，将会改变外在的现实,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554695&idx=1&sn=5b44a5216123eb7e01bf59cbc7d7ee29&chksm=f7ebc8cac09c41dcf5b9b25c02c96642807f1eeabc129d34dd7238824f1608476abd15864e06#rd
198,最后 3天报名（最后一次影子跟读课！）,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554695&idx=2&sn=64b9e1fd966ca4c30b8c25fb83d2a806&chksm=f7ebc8cac09c41dcf05c939d1c98ac918457b05a4968816f2271e3520be6e5910cdd15e9867b#rd
199,每日听写|9.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554695&idx=3&sn=3d51243539830d7b9e1a282e108eac94&chksm=f7ebc8cac09c41dc19643ce31efee86c67c3e5f07e29bdc3a80d4fd66dce137f1e1e9037f9b8#rd
200,我们一起神翻译|9.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554695&idx=4&sn=0dd30f240d14f9c364e3d2664c89922d&chksm=f7ebc8cac09c41dcd335a1ed8405aabbb1d58971f8959766ede5c0607cd4924e852ae84d05f8#rd
201,每日一句|9.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554695&idx=5&sn=d990d4c3d49b02855dd09e06b743aad9&chksm=f7ebc8cac09c41dcebbfff1142b9fa3df8bcf6f06696a9729a2db9e95ac91bc5dbefce03f5cb#rd
202,9.14早读 | I Want Something Just Like This,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554656&idx=1&sn=e57a2ccb997123cfebe45ef1a329bc17&chksm=f7ebc72dc09c4e3b70c65c219458127f54e8415a420365b0521bfa5fbcd60ed3d28378c87b7c#rd
203,“想明白了”用英文怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554656&idx=2&sn=2cf3b386bb5166d0d8bad6fce718cbaf&chksm=f7ebc72dc09c4e3bf2b1c41f66c99167f0d9746af286809f69a94ba122b551645b0a36d1937d#rd
204,每日听写|9.14,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554656&idx=3&sn=2a262b746fd1c85a03545d0368d1ead5&chksm=f7ebc72dc09c4e3bd5ccd8280de551acf774eb1439f38fb4f555734759d407bbfae658b5a692#rd
205,我们一起神翻译|9.14,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554656&idx=4&sn=80e028b00d4ce4867f9d652d42121cd2&chksm=f7ebc72dc09c4e3b38330a8be853bc8b3234efb5c570056ece33718dfb1821ca4c21062ecc57#rd
206,每日一句|9.14,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554656&idx=5&sn=2dd071089e7ebc4c7975cb490100f8d8&chksm=f7ebc72dc09c4e3bf7c50197795970ab0cea1815e5833696ddb6a370fba20e205ff1d721d5a8#rd
207,Gwen影子跟读课 第三季 开放报名！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554632&idx=1&sn=d0888b8c139a96e906a14b51f6813da2&chksm=f7ebc705c09c4e136331733c9eceb356a39aeb8c98291f4f69a1f82014ec8d9eaf113a9b7edb#rd
208,9.13早读 | 当别人公开与你分享他们的想法、感受和问题时，试着少些批判吧！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554632&idx=2&sn=4187c2f8aebc4e0e804b70232cc3af5a&chksm=f7ebc705c09c4e13d7797b5a3a5977aa47c1e2bdd54b74e9ab5262d8591996865b57a7ff81ac#rd
209,【老外说】海底世界知多少？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554632&idx=3&sn=675e89cf5917c4f133c6df92d7aa0095&chksm=f7ebc705c09c4e135b0d72c111feea5ac6fb4dba3499c9487a9caff3858c36c2fc53503d23f3#rd
210,每日听写|9.13,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554632&idx=4&sn=59692458ab5716d0838735450d570f0c&chksm=f7ebc705c09c4e137b178901bbe8607e70bcc93660b305ab58777a27f2d0706526875ff6eec4#rd
211,我们一起神翻译|9.13,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554632&idx=5&sn=b3b81291a77b52ca9c53af873a8ce155&chksm=f7ebc705c09c4e1331ec75d92a741bea53ecec65ae3efcda845d2ee1151be9ded7361c573050#rd
212,为你读诗—当我真正开始爱自己,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554550&idx=1&sn=6aa6d3eea0cc6e6d753f4c05ce9eb842&chksm=f7ebc7bbc09c4ead3cf49c1bd0a44fa6a8f878c16e755110642888cea271c05a9a137cf8b611#rd
213,9.12早读 | 任何破坏常规的事，都需要力量来支撑,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554550&idx=2&sn=e546b495ec3f2d5a564c596b6591c62a&chksm=f7ebc7bbc09c4ead9c4542a6d212d3df6ffcce344c3ca2479ac127e70066d938ef46fe2518f7#rd
214,每日听写飞鸟集|The Lake House02,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554550&idx=3&sn=4fdc4d9d8d5c8d793a03d58446db18fb&chksm=f7ebc7bbc09c4ead48cb11f42ca1bd87e387ff8e575038b843833a4d0fa9781d84e379166f3f#rd
215,听歌学英文| 热爱105°的你（英文版）,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554538&idx=1&sn=a30e89ecadedfee1cbe0a8967c28160b&chksm=f7ebc7a7c09c4eb1370486ccdf5d3f62a106096b3889b4c13abc06ba406c3fd9123defbdced0#rd
216,9.11早读 | 度过糟糕日子，这样你就会更加珍爱美好的日子,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554538&idx=2&sn=ff9ee4947be69ccd7291db691e8e71aa&chksm=f7ebc7a7c09c4eb1026539b0f64ec225f95f20abab5a6b36053ba2d2348fa2a7db6c672bab35#rd
217,每日听写9.6-9.10初级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554538&idx=3&sn=dbc86bf7d7a1541b1ba7c29f045662dc&chksm=f7ebc7a7c09c4eb1bd91843c747db1fcd9a28bc4173c950f5b0cced009c75687c6ad70fdcfce#rd
218,9.10早读 | 普通老师照本宣科，好的老师解疑答惑，超棒的老师躬亲示范，伟大的老师点拨引路,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554517&idx=1&sn=525305fb0747bbdf44347a88ead2399a&chksm=f7ebc798c09c4e8e0a640f1990e2aab43e2de1f42b14b234fdf2d7525d1b4cb47b51b1ca287a#rd
219,“前途无量”用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554517&idx=2&sn=b275fb19ebd2844ab878bb43564d513c&chksm=f7ebc798c09c4e8eeb8b0fa2d56fd9d7091097bba93f6d772c92cc8e24baf5fd83bfb520822a#rd
220,每日听写|9.10,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554517&idx=3&sn=feb9a922f246c5dc98322203617e37a3&chksm=f7ebc798c09c4e8e525cd8488c1b36cd6edc0c6fe0ed4dd89a1a87ee38d7350d9d1f3fd10c9f#rd
221,我们一起神翻译|9.10,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554517&idx=4&sn=2aded1492fe0f20f07cc0b396383087f&chksm=f7ebc798c09c4e8e47fc1ea59ad38855a826b38c617561b7d5a7313716e52e73889efb759f5c#rd
222,每日一句|9.10,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554517&idx=5&sn=865dddc8bbde4a1fda6afec78207a3a7&chksm=f7ebc798c09c4e8e9eccbaa3ba188980d3556594caf1488b75a4d699e21e6b94687b4b88918a#rd
223,9.9早读 | 消除偏见与误会最好的方法就是大方地谈论它,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554486&idx=1&sn=d4e3426d0669c85e59cfe209c60a7515&chksm=f7ebc7fbc09c4eedb1499b9e5eec3e2b7d7c45946f5aae70fe364f48931633152472f19b8cbc#rd
224,“愁容满面” 用英语怎么说,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554486&idx=2&sn=804e3398f517e0676ba876fa0af1fd5f&chksm=f7ebc7fbc09c4eeda536ccc8c63a4403afd8ea28e107350a09852e19ea164c57dc1795f681d4#rd
225,每日听写|9.9,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554486&idx=3&sn=26abbacae9ba4807776cfc670e523342&chksm=f7ebc7fbc09c4eedb2d920964bee87023aa9cbbc8972f915e475a77abdb1fd8d3d8f049376fb#rd
226,我们一起神翻译|9.9,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554486&idx=4&sn=5adb3821123258e01efea44312386c5a&chksm=f7ebc7fbc09c4eede404ec8707086d25949630150475d45958d98d752b50a9588ffe9882b9bc#rd
227,每日一句|9.9,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554486&idx=5&sn=9f362a89ff5524ea068418569e868030&chksm=f7ebc7fbc09c4eede5790b3082820042ffd9eb63df6ee37d81fa32c5ff78344623654e7612e4#rd
228,9.8早读 | 我将矢志不渝追求知识，诸如爱情之类的尘世浮华已无法入我眼,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554461&idx=1&sn=b476d1473f88c6143f1e7d80f523b47b&chksm=f7ebc7d0c09c4ec68979dd0edecb992de5bc67e58b76436a4b5ca4cc68e1c7467e5eb08021bf#rd
229,每日听写|9.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554461&idx=2&sn=27a658609db75255fd88ab89202e019f&chksm=f7ebc7d0c09c4ec607b274189dc73cb8cfdf1fb66ec66fdd8f8a9626d40681c48b0016d40837#rd
230,我们一起神翻译|9.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554461&idx=3&sn=661c752844bfd1520b3aded00030cd8a&chksm=f7ebc7d0c09c4ec6edc32d6a139e75d400448fed995286992a171ba35d8de78d8d62f4c4526a#rd
231,每日一句|9.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554461&idx=4&sn=c192753261dd29c094929d6ae0cbf4a9&chksm=f7ebc7d0c09c4ec6f127c6db74ce87c380c16765783792bd8bc1210ee92e9a0db1d7416f6b5a#rd
232,9.7早读 | Sia - Unstoppable,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554442&idx=1&sn=fefc181c23ada9bb3cc505c60383da5a&chksm=f7ebc7c7c09c4ed1845b712ff141be3d33912f86fe6bc1421c02728a34da05a6cf2ef15ed8c4#rd
233,“起风了”用英语怎么说呢？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554442&idx=2&sn=3eed07f21b52964ada3a1b17f32ba668&chksm=f7ebc7c7c09c4ed13695226171b577c8780c50345121cf10bd31b4e5fd4aee4d89d7db892ac8#rd
234,每日听写|9.7,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554442&idx=3&sn=124df2ad91cde5b325adb8f63a71c6be&chksm=f7ebc7c7c09c4ed1dfd2dbaeb9c6494810fd829adb05f65becebc84e75ebe76743a1263c4a88#rd
235,我们一起神翻译|9.7,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554442&idx=4&sn=52f12730c82bfcdde8e17144ff0d5088&chksm=f7ebc7c7c09c4ed17e3847c6e760dd4cbf5b471db61be10e90ef2e4bf9d0df4ec5c752bca935#rd
236,每日一句|9.7,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554442&idx=5&sn=9d9939e69775d1e94856af4b9945992f&chksm=f7ebc7c7c09c4ed1806d4f432521cda8c6917c6c737cbf38ee5834fb33699d1b174a90f85be3#rd
237,9.6早读 | 灵魂需要探索和成长，而唯一的方法就是走出舒适圈,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554389&idx=1&sn=9ca4816f81e86eb8ff2e652d21874276&chksm=f7ebc618c09c4f0e9e16066c60aeef3a394ff4309871e56218bfc4ccfb92316dea41b2b86aa2#rd
238,【老外说】生不生二胎？That is a question.,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554389&idx=2&sn=570b7703ecbb8219e4b8598af8dd5076&chksm=f7ebc618c09c4f0efe38e4990520ae6c3239ffcb7c013d7f23ff683b894260ba3cf3505ea3ff#rd
239,每日听写|9.6,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554389&idx=3&sn=74e5a164e5d3bbffc8380bd2ba676a23&chksm=f7ebc618c09c4f0e06af2562b01fa74c61d5decbbb320c66b7eefd1798088927350e5c9f29cd#rd
240,我们一起神翻译|9.6,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554389&idx=4&sn=6e9348c330093adeb8e1df682e7e2b39&chksm=f7ebc618c09c4f0e65624912328ebd3b67cd15d5207a7d87dbbed801a6bbb234243cb59b014a#rd
241,每日一句|9.6,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554389&idx=5&sn=83cf358f75d710116a869e93de525f99&chksm=f7ebc618c09c4f0ec5c9fcf5b6e51b8e9669c9d111af3dd84ec5f8949392d5a93a2506dc8c4b#rd
242,为你读诗—— 秋日,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554317&idx=1&sn=d094e35e063a8881c5fd4ea2fbdf9bbb&chksm=f7ebc640c09c4f56470935b65c38d9815303a8a6685af374c9e4a8255a35a3795b72a4d469a0#rd
243,9.5早读 | 如果两人心生喜欢，应当自然而然相遇，而不是分析彼此，像标本一样,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554317&idx=2&sn=18dd670b8a734b267332f1bdb5d466a7&chksm=f7ebc640c09c4f5603ee82e953cf0ee3953242f256dbbee02c2d56e61d983302f4667b9c5398#rd
244,每日听写飞鸟集|The Lake House01,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554317&idx=3&sn=585e969d493b881cee7603beab67967a&chksm=f7ebc640c09c4f56e81ba7895746582cc1eb8bbb718e2faf0ea5401d265e096ef4d993f09085#rd
245,听歌学英文 | Bloom,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554298&idx=1&sn=da1ae70252e28f154dab36e5717ae813&chksm=f7ebc6b7c09c4fa10d98b9f90f0bc4e9379b2b7c556060d53b55ff7738331d2c7066b73c18b7#rd
246,9.4早读 | 生命是短暂的，未来没有任何保证，你想要什么，就得去争取,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554298&idx=2&sn=c65c5c669401cdf97c739bc365c9df78&chksm=f7ebc6b7c09c4fa1ec8467d3ef0ec48f14ee5c6922a34d54c016901a55ff1c73e1be8b586b6c#rd
247,每日听写8.30-9.3高级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554298&idx=3&sn=998d34ee60bcb74e262ed81c2eabbd53&chksm=f7ebc6b7c09c4fa17d8664037d9be9fb574f66a28c1876c8300d8eacf45fbe7da293be9d6b8f#rd
248,9.3早读 | 三人行，必有我师焉,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554278&idx=1&sn=a9993c898c04df3732e415a79a0c9972&chksm=f7ebc6abc09c4fbd7a22739db555babf8dbe64696ff57d444b336d0db398166f785c729d4f06#rd
249,“翻白眼儿”用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554278&idx=2&sn=95e4f35d13a40a97b3f4293d492bcacf&chksm=f7ebc6abc09c4fbd095a9296f9ba237b327be130f1f9500b6a4af2bad5f1a50852860385d52e#rd
250,每日听写|9.3,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554278&idx=3&sn=fc531311208dfd28b253f60bb97cf8b9&chksm=f7ebc6abc09c4fbd893c5551bf7513bb1a65b911a1eac38b66ce036a66c494b8a8fcc98cbfda#rd
251,我们一起神翻译|9.3,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554278&idx=4&sn=cb3ec236776138507ca15b5388dae651&chksm=f7ebc6abc09c4fbd15d21d7bb4bc1e5a80dec454976ed1ad6a763bee7bbe9c0d515eac5a9c3f#rd
252,每日一句|9.3,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554278&idx=5&sn=1a6000e0f7e88ad760c597ef034e8f1f&chksm=f7ebc6abc09c4fbdef6e29ad8a7a733f0007f34c11cd1244e7f1982274da9e472392b6bf2cc3#rd
253,9.2早读 | 知道自己想要什么，等于成功了一半,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554236&idx=1&sn=e0272ffa4a919717f826ab61c9f28ad6&chksm=f7ebc6f1c09c4fe77d4225bb08204f91553d62664913ded95be55bcea281e178e2263b87702f#rd
254,“整条街上最靓的仔”用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554236&idx=2&sn=485c5271161aba3db2d9cb860ca8a856&chksm=f7ebc6f1c09c4fe7dd24d8c9884190765b7ccb719f6a04bf46765e9ae57ba658996519951fec#rd
255,每日听写|9.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554236&idx=3&sn=dc7a5b7d5837eb32abadf331ed06d335&chksm=f7ebc6f1c09c4fe7e723fd35ffc5a69653a030b030a03c9186962e8f1ff1a55e016241dddb33#rd
256,我们一起神翻译|9.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554236&idx=4&sn=6d432d83c544b2dbb185460f31424d8a&chksm=f7ebc6f1c09c4fe72b5e6714dc30c67b67819206273f834ea215d6bf254a28d025cd29aad37c#rd
257,每日一句|9.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554236&idx=5&sn=9751344c416b0d8296ed3d29ab576554&chksm=f7ebc6f1c09c4fe7897395ca30ad227d4a647952b76f38c210dfc44a0e447e3991e0c98e9df1#rd
258,9.1早读 | 悲观者抱怨风向，乐观者静候风变，务实者调整风帆,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554214&idx=1&sn=697e68ae7ec2da2b246c34b1ca4a05f3&chksm=f7ebc6ebc09c4ffdfc1bd81d89a74361af256d7ecfeb2d41d9a58a08a0bec7966a42a7a1502a#rd
259,每日听写|9.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554214&idx=2&sn=327195f82bc4734abe8b5a38ac115e09&chksm=f7ebc6ebc09c4ffd1904f406f0de589e39874e17292f23cbd3508c15766d69a59541e09f1941#rd
260,我们一起神翻译|9.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554214&idx=3&sn=510bc34aee330d748a47f2f6e6b1731d&chksm=f7ebc6ebc09c4ffd084744746def4514f318f6cad76ebe2170356f047ce16906c1db26eed6ec#rd
261,每日一句|9.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554214&idx=4&sn=0650568128df7f9af8c84fdc2283a24e&chksm=f7ebc6ebc09c4ffd7f6720fc18f1330d6f496e4c704f56d52069d7a4508c2db7c9c1dc026fd4#rd
